,state,sat_18_participation,sat_18_ebrw,sat_18_math,sat_18_total,sat_19_participation,sat_19_ebrw,sat_19_math,sat_19_total,code,funding_18_dollars,funding_19_dollars,dif_participation,dif_total_score,dif_funding
0,Alabama,0.06,595,571,1166,0.07,583,560,1143,AL,9696,10077,0.010000000000000009,-23,381
1,Alaska,0.43,562,544,1106,0.41,556,541,1097,AK,17726,18394,-0.020000000000000018,-9,668
2,Arizona,0.29,577,572,1149,0.31,569,565,1134,AZ,8255,8625,0.020000000000000018,-15,370
3,Arkansas,0.05,592,576,1168,0.06,582,559,1141,AR,10139,10388,0.009999999999999995,-27,249
4,California,0.6,540,536,1076,0.63,534,531,1065,CA,12143,14035,0.030000000000000027,-11,1892
5,Colorado,1.0,519,506,1025,1.0,518,506,1024,CO,10202,11030,0.0,-1,828
6,Connecticut,1.0,535,519,1054,1.0,529,516,1045,CN,20635,21310,0.0,-9,675
7,Delaware,1.0,505,492,997,1.0,499,486,985,DE,15639,16315,0.0,-12,676
8,District of Columbia,0.92,497,480,977,0.94,495,480,975,DC,22759,22406,0.019999999999999907,-2,-353
9,Florida,0.56,550,549,1099,1.0,516,483,999,FL,9346,9645,0.43999999999999995,-100,299
10,Georgia,0.7,542,522,1064,0.71,538,519,1057,GA,10810,11228,0.010000000000000009,-7,418
11,Hawaii,0.56,480,530,1010,0.54,550,550,1100,HI,15242,16132,-0.020000000000000018,90,890
12,Idaho,1.0,508,493,1001,1.0,505,488,993,ID,7771,7985,0.0,-8,214
13,Illinois,0.99,513,506,1019,1.0,509,504,1013,IL,15757,16227,0.010000000000000009,-6,470
14,Indiana,0.63,542,532,1074,0.66,543,537,1080,IN,10262,10397,0.030000000000000027,6,135
15,Iowa,0.03,634,631,1265,0.03,622,622,1244,IA,11732,11907,0.0,-21,175
16,Kansas,0.04,633,631,1264,0.04,618,623,1241,KS,11653,11926,0.0,-23,273
17,Kentucky,0.04,630,618,1248,0.04,620,612,1232,KY,11110,11291,0.0,-16,181
18,Louisiana,0.04,615,595,1210,0.05,610,591,1201,LA,11452,11755,0.010000000000000002,-9,303
19,Maine,0.99,512,501,1013,0.99,512,502,1014,ME,14152,14614,0.0,1,462
20,Maryland,0.76,545,535,1080,0.82,535,523,1058,MD,14762,15148,0.05999999999999994,-22,386
21,Massachusetts,0.8,562,563,1125,0.81,559,561,1120,MA,17058,17748,0.010000000000000009,-5,690
22,Michigan,1.0,511,499,1010,1.0,507,496,1003,MI,12345,12756,0.0,-7,411
23,Minnesota,0.04,643,655,1298,0.04,636,648,1284,MN,12995,13387,0.0,-14,392
24,Mississippi,0.03,630,606,1236,0.03,628,608,1236,MS,8935,9284,0.0,0,349
25,Missouri,0.04,633,629,1262,0.04,622,615,1237,MO,10906,11200,0.0,-25,294
26,Montana,0.1,606,592,1198,0.09,603,596,1199,MT,11680,11988,-0.010000000000000009,1,308
27,Nebraska,0.03,629,623,1252,0.03,628,631,1259,NE,12816,12743,0.0,7,-73
28,Nevada,0.23,574,566,1140,0.2,580,576,1156,NV,9295,9344,-0.03,16,49
29,New Hampshire,0.96,535,528,1063,0.95,533,526,1059,NH,16893,17462,-0.010000000000000009,-4,569
30,New Jersey,0.82,547,547,1094,0.82,544,545,1089,NJ,19526,20512,0.0,-5,986
31,New Mexico,0.16,552,540,1092,0.18,543,530,1073,NM,9582,10177,0.01999999999999999,-19,595
32,New York,0.79,534,534,1068,0.79,531,533,1064,NY,24048,25139,0.0,-4,1091
33,North Carolina,0.52,554,543,1097,0.51,554,546,1100,NC,9377,9857,-0.010000000000000009,3,480
34,North Dakota,0.02,640,643,1283,0.02,627,636,1263,ND,13758,14004,0.0,-20,246
35,Oklahoma,0.08,541,521,1062,0.22,490,472,962,OK,8239,9323,0.14,-100,1084
36,Ohio,0.18,552,547,1099,0.19,550,548,1098,OH,13027,13538,0.010000000000000009,-1,511
37,Oregon,0.48,564,553,1117,0.51,562,550,1112,OR,11920,12450,0.030000000000000027,-5,530
38,Pennsylvania,0.7,547,539,1086,0.7,545,537,1082,PA,16395,16864,0.0,-4,469
39,Rhode Island,0.97,513,505,1018,1.0,503,492,995,RI,16142,16750,0.030000000000000027,-23,608
40,South Carolina,0.55,547,523,1070,0.68,526,504,1030,SC,10856,11140,0.13,-40,284
41,South Dakota,0.03,622,618,1240,0.03,633,635,1268,SD,10073,10139,0.0,28,66
42,Tennessee,0.06,624,607,1231,0.07,618,602,1220,TN,9544,9868,0.010000000000000009,-11,324
43,Texas,0.66,520,512,1032,0.68,515,507,1022,TX,9606,9827,0.020000000000000018,-10,221
44,Utah,0.04,480,530,1010,0.04,614,615,1229,UT,7628,8014,0.0,219,386
45,Vermont,0.64,565,554,1119,0.66,560,546,1106,VT,19341,20315,0.020000000000000018,-13,974
46,Virginia,0.68,567,550,1117,0.68,567,551,1118,VA,12216,12641,0.0,1,425
47,Washington,0.69,543,538,1081,0.7,539,535,1074,WA,12995,14223,0.010000000000000009,-7,1228
48,West Virginia,0.28,513,486,999,0.99,483,460,943,WV,11334,12010,0.71,-56,676
49,Wisconsin,0.03,641,653,1294,0.03,635,648,1283,WI,12285,12598,0.0,-11,313
50,Wyoming,0.03,633,625,1258,0.03,623,615,1238,WY,16224,16304,0.0,-20,80
